Vintage,Winery,Label,Variety,Region,Country,Wine Type,Merit,Value,Best,%Alcohol,Qty,Qty/Case,Bottle Size,Price,User Notes 1,User Notes 2,Location,UserField3
2005,Tupungato,Meritage,Meritage,Mendoza,Argentina,R,,,2022,,1,,750,15.99,,Evaton  Inc. 1100 High Ridge Rd.  Suite 206 Stamford  CT 06905,In box,
2004,Bodegas Ondarre,Rioja Reserva,Tempranillo,Rioja,Spain,R,,,2014,,1,,750 mL,22.99,, ,Wine Rack 1,4th row/left
2005,Bodegas y Vinedos del Jalon,Las Pizarras,Grenache/Garnacha,Calatayud,Spain,R,,,2014,,1,,750 mL,57.99,, ,Wine Rack 1,5th row/left
2005,Bodega Diaz Bayo,Nuestro,Tempranillo,Ribera del Duero,Spain,R,,,2013,,1,,750 mL,29.99,, ,Wine Rack 1,Row 1/bin 1
2004,Ars Poetica,Le Colline di Orazio,Aglianico,Basilicata,Italy,R,,,2020,,1,,750 mL,35.99,, ,Wine Rack 1,5th row  middle bin
2009,Lo Zoccolaio,Dolcetto d'Alba,Dolcetto,Alba,Italy,R,,,,,2,,750 mL,70.00,, ,Wine Rack 1,Row 5/bin 3
2001,Ripa delle More,Castello Vicchiomaggio,Sangiovese,Tuscany,Italy,R,,,,,1,,750ml,39.98,,Laird & Company One Laird Rd. Scobeyville  NJ 07724,Wine Rack 1,right row  2nd bin from top
2001,Fonterutoli,Badiola,Sangiovese,Tuscany,Italy,R,,,,,1,,750 mL,Gift,,Gift from Yani and Gaby ,Wine Rack 1,3rd row  bottom bin
2007,L'Aura,Chanti Classico,Sangiovese,Chianti,Italy,R,,,,,1,,750 mL,29.99,,Gift from Dana and Josh  Father's Day 2010 ,Wine Rack 1,right row  2nd bin from top
2006,Tenuta dei Sette Cieli,Indaco,Malbec/cab/merlot,Tuscany,Italy,R,,,2018,,3,,750 mL,49.99,,WTSO ,Wine Rack 1,right row  3rd bin from bottom
2006, Tenuta del Portale,Bibbona Insoglio,Syrah/cab franc/merlot,Tuscany,Italy,R,,,2018,,1,,750 mL,39.99,,WTSO ,Wine Rack 1,top row/right
2001,Giuseppe Cortese,Rabaja Barbaresco,Nebbiolo,Piedmont,Italy,R,,,,,1,,750 mL,39.99,,Gift from Dana and Josh for 61st Birthday ,Wine Rack 1,1st row/right
1999,Cascina Adelaide Di Amabile Drocco,Barolo,Nebbiolo,Piedmont,Italy,R,,,,,1,,750,34.99,,Cascina Adelaide Di Amabile Drocco Via Aie Sottane 14 Cuneo 12060 Italy,Wine Rack 1,top row
2005,Michele Chiarlo,Barolo DOCG Tortoniano,Nebbiolo,Piedmont,Italy,R,,,2020,,2,,750,55.99,,WTSO ,Wine Rack 1,top row
2003,Grant Burge ,Holy Trinity GSM,GSM,Barossa Valley,Australia,R,,,2022,,1,,750 mL,$47.95 CAN,RP-lavender  sage  black cherry  raspberry  earthy notes. matches well with duck  big meaty dishes.,Grant Burge Wines Pty. Ltd. P.O. Box 421 Tanunda 5352 Australia,Wine Rack 2,right/2nd from bottom
2006,Bradford Mountain,Grist Vineyard Syrah,Syrah,California - Sonoma,United States,R,,,2016,,2,,750,33.99,Blackberries  leather  coffee  vanilla  plum. great with lamb.,Belvedere Wine Company 4035 Westside Road Healdsburg  CA 95448,Wine Rack 3,top row  2nd bin from left
2007,Merryvale,Starmount Cabernet Sauvignon,Cabernet Sauvignon,Napa,United States,R,,,,,1,,750 ML,19.99,,Sunny St. Helena Winery 902 Main Street St. Helena  CA 94574,Wine Rack 3,2nd row/4th bin from left
2007,Anwilka,Ugaba,Cab/Merlot/Syrah,Stellenbosch,South Africa,R,,,,,1,,750 mL,17.99,,South World Records and Entertainment Inc. 5827 Thrush Drive Houston  TX 77033,Wine Rack 3,2nd row/5th bin from left
2007,Tittarellia,Cabernet Sauvignon,Cabernet Sauvignon,Mendoza,Argentina,R,,,,,1,,750 mL,24.99,,Pacifico Tittarellia S.a. La Florida s/n - Rivadavia Mendoza 5577 Argentina,Wine Rack 3,2nd row/5th bin from left
2006,Stuhlmuller Vineyards,Cabernet Sauvignon,Cabernet Sauvignon,Alexander Valley,United States,R,,,2016,,1,,750 mL,44.95,Jan 7  2012--absolutely wonderful...enjoyed with a luscious NY strip. spectacular cab...lots of fruit  soft tannins  long finish. ,Georgia Peach Products  Inc. Suite 220 1888 Emery Street N.W. Atlanta  GA 30318,Atop Al's Rack,
2009,Encantado,Cabernet Sauvignon,Cabernet Sauvignon,Napa,United States,R,,,,,1,,750 mL,64.99,,2nd label for Pine Ridge ,Wine Rack 3,Row 1/bin 3
2006,Chateau St Jean,Cinq Cepages,Cabernet Sauvignon,Sonoma California,United States,R,,,2018,,2,,750 ml,79.99,,Wine World Inc. P.O. Box 111 St. Helena  CA 94574,Wine rack 4,Row 1/bin 3
2005,Eagles Trace Vineyards,Cabernet Sauvignon--Estate Grown,Cabernet Sauvignon,Napa,United States,R,,,,,2,,750 mL,54.99,, ,Wine Rack 4,Row 3/bin 1
2008,Angeline Vineyards,Cabernet Sauvignon-Stags Leap District,Cabernet Sauvignon,Napa-Stags Leap District,United States,R,,,2016,,1,,750,39.99,,Codera Wine Group  Inc. 561 1st Street W Sonoma  CA 95476-6636,Wine Chest,top rack
