Winery	Color	Name	Vintage	Type	Varietal	Size	Country	Region	Price	URL	Location	Position	Bottles	Cases	Bottles Per Case	Percent Alcohol	Peak Year	Tasting Notes	Notes	Tasted	Time Created	Time Updated	Connoisseurs’ Guide	Robert Parker	Stephen Tanzer	Wine Advocate	Wine Enthusiast	Wine Spectator
Winery		Name	Vintage	Type	Varietal	Size	Country	Region	Price		Location	Position	Bottles		Bottles Per Case		Peak Year	Tasting Notes	Notes	No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Maipe		Maipe Reserve Cabernet	2009	Red	Cabernet Sauvignon	750 mL	Argentina	Mendoza	14.99		Wine Rack 3	Row 1/bin 4					2015	Gift from Dana and josh--Sarasota, April 2012		No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Enjoyed with grilled pork chops March 16, 2013 after a lovely day of just running errands and enjoying each other's company.		Kysela Pere Et Fils, Ltd.																		No	2019-01-25 13:32:37	2019-01-25 13:32:37						
350 Chestnut Grove Road																				No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Winchester, VA 22603		Yes																90		No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Tupungato		Meritage	2005	Red	Meritage	750	Argentina	Mendoza	15.99		In box		1				2022		Evaton, Inc.	No	2019-01-25 13:32:37	2019-01-25 13:32:37						
1100 High Ridge Rd., Suite 206																				No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Stamford, CT 06905		Yes																		No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Bodegas Ondarre		Rioja Reserva	2004	Red	Tempranillo	750 mL	Spain	Rioja	22.99		Wine Rack 1	4th row/left	1				2014			Yes	2019-01-25 13:32:37	2019-01-25 13:32:37						
Bodegas y Vinedos del Jalon		Las Pizarras	2005	Red	Grenache/Garnacha	750 mL	Spain	Calatayud	57.99		Wine Rack 1	5th row/left	1		12		2014			Yes	2019-01-25 13:32:37	2019-01-25 13:32:37						
Bodega Diaz Bayo		Nuestro	2005	Red	Tempranillo	750 mL	Spain	Ribera del Duero	29.99		Wine Rack 1	Row 1/bin 1	1		12		2013			No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Ars Poetica		Le Colline di Orazio	2004	Red	Aglianico	750 mL	Italy	Basilicata	35.99		Wine Rack 1	5th row, middle bin	1				2020			Yes	2019-01-25 13:32:37	2019-01-25 13:32:37						
Domus Vitae		Brunello di Montalcino	2006	Red	Sangiovese	750 mL	Italy	Brunello di Montalcino	60.00		Wine Rack 1	3rd row/bin 3					2014			No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Tenuta Del Portale		Aglianico Del Vulture	2006	Red	Aglianico 100%	750	Italy	rionero in vulture	26.00		Wine Rack 1	3rd row/center								Yes	2019-01-25 13:32:37	2019-01-25 13:32:37						
Lo Zoccolaio		Dolcetto d'Alba	2009	Red	Dolcetto	750 mL	Italy	Alba	70.00		Wine Rack 1	Row 5/bin 3	2							No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Altesino		Brunello Di Montalcino	2004	Red	Brunello	750	Italy	Montalcino	$55.95		Wine Rack 1	5th row, 3rd bin from left							Get well gift after knee surgery from Erin, Chase, Stan and Mimi	No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Ferragu		Valpolicella Superiore	2006	Red		750 mL	Italy				Wine Rack 1	Row 3/bin 3			12					No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Il Molino di Grace		Gratius	2000	Red	Sangiovese	750 mL	Italy	Tuscany	33.00		Wine Rack 1	right row, 2nd bin from top			12					Yes	2019-01-25 13:32:37	2019-01-25 13:32:37						
Ripa delle More		Castello Vicchiomaggio	2001	Red	Sangiovese	750ml	Italy	Tuscany	39.98		Wine Rack 1	right row, 2nd bin from top	1						Laird & Company	No	2019-01-25 13:32:37	2019-01-25 13:32:37						
One Laird Rd.																				No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Scobeyville, NJ 07724		Yes																		No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Fonterutoli		Badiola	2001	Red	Sangiovese	750 mL	Italy	Tuscany	Gift		Wine Rack 1	3rd row, bottom bin	1		12				Gift from Yani and Gaby	No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Fattoria Casisano-Colombaio		Rosso di Montalcino	2004	Red	Sangiovese	750 mL	Italy	Montalcino	14.99		Wine Rack 1	right row, 2nd bin from top	0						Total Wine and More	No	2019-01-25 13:32:37	2019-01-25 13:32:37						
Suite 214																				No	2019-01-25 13:32:37	2019-01-25 13:32:37						
